360X,Student,Gaming,Professional
,,https://2b.com.eg/en/hp-victus-15-fa1097ne-laptop-intelr-coretm-i7-13700h-16gb-512-gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-silver.html,https://2b.com.eg/en/lenovo-ideapad-1-15amn7-laptop-amd-ryzentm-5-7520u-8gb-512gb-ssd-integrated-amd-radeontm-610m-graphics-15-6-fhd-win11-cloud-grey.html
,,https://2b.com.eg/en/hp-victus-15-fb0034ne-amd-ryzentm-7-5800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/lenovo-ideapad-5-slim-17imh9-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-integrated-intelr-arctm-graphics-16-wuxga-win11-cloud-grey.html
,,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-black.html
,,,https://2b.com.eg/en/hp-15-fd0022ne-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html
,,,https://2b.com.eg/en/dell-vostro-3520-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html
,,,https://2b.com.eg/en/hp-pavalion-15-eh3001ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-blue.html
,,,https://2b.com.eg/en/msi-modern-15-h-b13m-laptop-intelr-coretm-i7-13620h-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-classic-black.html
,,,https://2b.com.eg/en/lenovo-ideapad-slim-3-15iah8-intelr-coretm-i5-12450h-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win-11-arctic-grey-1.html
,,,https://2b.com.eg/en/asus-vivobook-15-x1504za-nj005w-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html
,,,https://2b.com.eg/en/hp-15s-fq5042ne-laptop-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html
