Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$1589,Acer Predator Triton 500,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Acer_Predator_Triton_500.jpg,gaming,$1589 'High/Extreme-High',gaming,Acer,Top
$1599,MSI GS65 Stealth Thin,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 240hz",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/MSI_GS65_Stealth_Thin.jpg,gaming,$1599 'High/Extreme-High',gaming,MSI,Top
$1682,Lenovo ThinkPad X1 Yoga,i5-7200U,Intel Graphics 620,8GB,-,256GB PCIe,"14"" 1920x1080 IPS Touch w/ Pen",High/Extreme-High,10,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20X1%20Yoga.jpg,convertible,$1682 'High/Extreme-High',convertible,Lenovo,Top
$1699,Apple Macbook Pro 13,i5-7360U,Intel Iris Graphics 640,16GB,-,256GB PCIe,"13.3"" 2560x1600 IPS",High/Extreme-High,10,http://lappylist.com/images/laptop2018/Macbook%20Pro%2013%202017.jpg,"programming,mainstream",$1699 'High/Extreme-High',"programming,mainstream",Apple,Top
$1699,Apple Macbook Pro 13 /w bar,i5-6267U,Intel Iris Graphics 550,8GB,-,128GB PCIe,"13.3"" 2560x1600 IPS",High/Extreme-High,10,http://lappylist.com/images/laptop/Apple%20Macbook%20Pro%20Retina%2013.jpg,ultraportable,$1699 'High/Extreme-High',ultraportable,Apple,Top
$1699,Asus Zenbook UX490UA,i7-8550U,Intel UHD Graphics 620,16GB,-,512GB PCIe,"14"" 1920x1080 IPS",High/Extreme-High,7,http://lappylist.com/images/laptop/Asus%20Zenbook%20UX390UA.jpg,"programming,mainstream",$1699 'High/Extreme-High',"programming,mainstream",Asus,Top
$1699,Microsoft Surface Book,i5-6200U,Intel Graphics 520,8GB,-,256GB,"13.5"" 3000x2000 IPS Touch",High/Extreme-High,10,http://lappylist.com/images/laptop/Microsoft%20Surface%20Book.jpg,convertible,$1699 'High/Extreme-High',convertible,Microsoft,Top
$1779,VAIO Z Flip,i5-6267U,Intel Iris Graphics 550,8GB,-,256GB,"13.3"" 2560x1440 IPS Touch w/ Pen",High/Extreme-High,10,http://lappylist.com/images/laptop/VAIO%20Z%20Flip..jpg,convertible,$1779 'High/Extreme-High',convertible,VAIO,Top
$181,ASUS T100TA,BayTrail-T Z3775,Intel HD Graphics,2GB,-,32GB,"10.1"" 1366x768 TN Touch",Extreme-Low/Low,5,http://lappylist.com/images/laptop/ASUS%20T100TA.jpg,convertible,$181 'Extreme-Low/Low',convertible,ASUS,Top
$1885,Dell XPS 15 9560 (i7),i5-7700HQ,Nvidia GTX 1050,16GB,-,512GB,"15.6"" 3840x2160 IPS Touch",High/Extreme-High,10,http://lappylist.com/images/laptop/Dell%20XPS%2015%209560.jpg,mainstream,$1885 'High/Extreme-High',mainstream,Dell,Top
$1899,Asus ROG Zephyrus M,Core i7-9750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"15.6"" 1920x1080 240Hz IPS",High/Extreme-High,9,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_M.jpg,gaming,$1899 'High/Extreme-High',gaming,Asus,Top
$1899,Asus ROG Zephyrus S,Core i7-9750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"17.3"" 1920x1080 144hz",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_S_GX701.jpg,gaming,$1899 'High/Extreme-High',gaming,Asus,Top
